id_data_consumer,time_consumer,tension,current,MAC_node
177443,"2015-09-16 18:19:45",121.0,1.68,x00x13xa2x00x40xaexc5fre
177444,"2015-09-16 18:19:46",121.0,1.62,x00x13xa2x00x40xaexc5fre
177445,"2015-09-16 18:19:46",121.0,1.77,x00x13xa2x00x40xaexc5fre
177446,"2015-09-16 18:19:46",121.0,1.92,x00x13xa2x00x40xaexc5fre
177447,"2015-09-16 18:19:46",121.0,1.8,x00x13xa2x00x40xaexc5fre
177448,"2015-09-16 18:19:46",121.0,1.77,x00x13xa2x00x40xaexc5fre
177449,"2015-09-16 18:19:46",121.0,1.81,x00x13xa2x00x40xaexc5fre
177450,"2015-09-16 18:19:46",121.0,1.64,x00x13xa2x00x40xaexc5fre
177451,"2015-09-16 18:19:46",121.0,1.6,x00x13xa2x00x40xaexc5fre
177452,"2015-09-16 18:19:47",121.0,1.73,x00x13xa2x00x40xaexc5fre
177453,"2015-09-16 18:19:47",121.0,1.87,x00x13xa2x00x40xaexc5fre
177454,"2015-09-16 18:19:47",121.0,1.89,x00x13xa2x00x40xaexc5fre
177455,"2015-09-16 18:19:47",121.0,1.77,x00x13xa2x00x40xaexc5fre
177456,"2015-09-16 18:19:47",121.0,1.69,x00x13xa2x00x40xaexc5fre
177457,"2015-09-16 18:19:47",121.0,1.66,x00x13xa2x00x40xaexc5fre
177458,"2015-09-16 18:19:47",121.0,1.74,x00x13xa2x00x40xaexc5fre
177459,"2015-09-16 18:19:47",121.0,1.67,x00x13xa2x00x40xaexc5fre
177460,"2015-09-16 18:19:48",121.0,1.78,x00x13xa2x00x40xaexc5fre
177461,"2015-09-16 18:19:48",121.0,1.93,x00x13xa2x00x40xaexc5fre
177462,"2015-09-16 18:19:48",121.0,1.86,x00x13xa2x00x40xaexc5fre
177463,"2015-09-16 18:19:48",121.0,1.73,x00x13xa2x00x40xaexc5fre
177464,"2015-09-16 18:19:48",121.0,1.61,x00x13xa2x00x40xaexc5fre
177465,"2015-09-16 18:19:48",121.0,1.62,x00x13xa2x00x40xaexc5fre
177466,"2015-09-16 18:19:48",121.0,1.74,x00x13xa2x00x40xaexc5fre
177467,"2015-09-16 18:19:48",121.0,1.85,x00x13xa2x00x40xaexc5fre
177468,"2015-09-16 18:19:49",121.0,1.87,x00x13xa2x00x40xaexc5fre
177469,"2015-09-16 18:19:49",121.0,1.94,x00x13xa2x00x40xaexc5fre
177470,"2015-09-16 18:19:49",121.0,1.65,x00x13xa2x00x40xaexc5fre
