id_data_consumer,time_consumer,tension,current,MAC_node
129910,"2015-09-01 08:29:45",127.0,1.2,x00x13xa2x00x40xaexc5xbf
129911,"2015-09-01 08:29:45",130.0,1.35,x00x13xa2x00x40xaexc5xbf
129912,"2015-09-01 08:29:45",130.0,1.3,x00x13xa2x00x40xaexc5xbf
129913,"2015-09-01 08:29:45",130.0,1.31,x00x13xa2x00x40xaexc5xbf
129914,"2015-09-01 08:29:45",130.0,1.25,x00x13xa2x00x40xaexc5xbf
129915,"2015-09-01 08:29:45",130.0,1.26,x00x13xa2x00x40xaexc5xbf
129916,"2015-09-01 08:29:46",130.0,1.12,x00x13xa2x00x40xaexc5xbf
129917,"2015-09-01 08:29:46",130.0,1.11,x00x13xa2x00x40xaexc5xbf
129918,"2015-09-01 08:29:46",127.0,1.28,x00x13xa2x00x40xaexc5xbf
129919,"2015-09-01 08:29:46",130.0,1.21,x00x13xa2x00x40xaexc5xbf
129920,"2015-09-01 08:29:46",130.0,1.26,x00x13xa2x00x40xaexc5xbf
129921,"2015-09-01 08:29:46",130.0,1.17,x00x13xa2x00x40xaexc5xbf
129922,"2015-09-01 08:29:46",130.0,1.27,x00x13xa2x00x40xaexc5xbf
129923,"2015-09-01 08:29:47",130.0,1.12,x00x13xa2x00x40xaexc5xbf
129924,"2015-09-01 08:29:47",127.0,1.3,x00x13xa2x00x40xaexc5xbf
129925,"2015-09-01 08:29:47",130.0,1.31,x00x13xa2x00x40xaexc5xbf
129926,"2015-09-01 08:29:47",130.0,1.3,x00x13xa2x00x40xaexc5xbf
129927,"2015-09-01 08:29:47",130.0,1.39,x00x13xa2x00x40xaexc5xbf
129928,"2015-09-01 08:29:47",130.0,1.27,x00x13xa2x00x40xaexc5xbf
129929,"2015-09-01 08:29:47",130.0,1.24,x00x13xa2x00x40xaexc5xbf
129930,"2015-09-01 08:29:47",130.0,1.17,x00x13xa2x00x40xaexc5xbf
129931,"2015-09-01 08:29:47",130.0,1.28,x00x13xa2x00x40xaexc5xbf
129932,"2015-09-01 08:29:48",127.0,1.2,x00x13xa2x00x40xaexc5xbf
129933,"2015-09-01 08:29:48",130.0,1.31,x00x13xa2x00x40xaexc5xbf
129934,"2015-09-01 08:29:48",130.0,1.4,x00x13xa2x00x40xaexc5xbf
129935,"2015-09-01 08:29:48",130.0,1.34,x00x13xa2x00x40xaexc5xbf
129936,"2015-09-01 08:29:48",130.0,1.17,x00x13xa2x00x40xaexc5xbf
129937,"2015-09-01 08:29:48",130.0,1.1,x00x13xa2x00x40xaexc5xbf
129938,"2015-09-01 08:29:48",130.0,1.12,x00x13xa2x00x40xaexc5xbf
129939,"2015-09-01 08:29:48",130.0,1.1,x00x13xa2x00x40xaexc5xbf
129940,"2015-09-01 08:29:49",127.0,1.21,x00x13xa2x00x40xaexc5xbf
129941,"2015-09-01 08:29:49",130.0,1.29,x00x13xa2x00x40xaexc5xbf
129942,"2015-09-01 08:29:49",130.0,1.3,x00x13xa2x00x40xaexc5xbf
129943,"2015-09-01 08:29:49",130.0,1.35,x00x13xa2x00x40xaexc5xbf
129944,"2015-09-01 08:29:49",130.0,1.18,x00x13xa2x00x40xaexc5xbf
129945,"2015-09-01 08:29:49",130.0,1.13,x00x13xa2x00x40xaexc5xbf
129946,"2015-09-01 08:29:49",130.0,1.13,x00x13xa2x00x40xaexc5xbf
129947,"2015-09-01 08:29:49",130.0,1.16,x00x13xa2x00x40xaexc5xbf
129948,"2015-09-01 08:29:50",127.0,1.38,x00x13xa2x00x40xaexc5xbf
129949,"2015-09-01 08:29:50",130.0,1.48,x00x13xa2x00x40xaexc5xbf
129950,"2015-09-01 08:29:50",130.0,1.18,x00x13xa2x00x40xaexc5xbf
129951,"2015-09-01 08:29:50",130.0,1.2,x00x13xa2x00x40xaexc5xbf
129952,"2015-09-01 08:29:50",130.0,1.2,x00x13xa2x00x40xaexc5xbf
129953,"2015-09-01 08:29:50",127.0,1.2,x00x13xa2x00x40xaexc5xbf
129954,"2015-09-01 08:29:50",130.0,1.31,x00x13xa2x00x40xaexc5xbf
129955,"2015-09-01 08:29:51",130.0,1.26,x00x13xa2x00x40xaexc5xbf
129956,"2015-09-01 08:29:51",130.0,1.24,x00x13xa2x00x40xaexc5xbf
129957,"2015-09-01 08:29:51",130.0,1.27,x00x13xa2x00x40xaexc5xbf
