id_data_consumer,time_consumer,tension,current,MAC_node
163933,"2015-09-11 12:05:35",130.0,0.43,x00x13xa2x00x40xaexc5air
163934,"2015-09-11 12:05:35",130.0,0.44,x00x13xa2x00x40xaexc5air
163935,"2015-09-11 12:05:36",130.0,0.45,x00x13xa2x00x40xaexc5air
163936,"2015-09-11 12:05:36",130.0,0.44,x00x13xa2x00x40xaexc5air
163937,"2015-09-11 12:05:36",130.0,0.43,x00x13xa2x00x40xaexc5air
163938,"2015-09-11 12:05:36",130.0,0.44,x00x13xa2x00x40xaexc5air
163939,"2015-09-11 12:05:36",130.0,0.45,x00x13xa2x00x40xaexc5air
163940,"2015-09-11 12:05:36",130.0,0.44,x00x13xa2x00x40xaexc5air
163941,"2015-09-11 12:05:36",130.0,0.43,x00x13xa2x00x40xaexc5air
163942,"2015-09-11 12:05:36",130.0,0.44,x00x13xa2x00x40xaexc5air
163943,"2015-09-11 12:05:37",130.0,0.45,x00x13xa2x00x40xaexc5air
163944,"2015-09-11 12:05:37",130.0,0.44,x00x13xa2x00x40xaexc5air
163945,"2015-09-11 12:05:37",130.0,0.44,x00x13xa2x00x40xaexc5air
163946,"2015-09-11 12:05:37",130.0,0.45,x00x13xa2x00x40xaexc5air
163947,"2015-09-11 12:05:37",130.0,0.45,x00x13xa2x00x40xaexc5air
163948,"2015-09-11 12:05:37",130.0,0.43,x00x13xa2x00x40xaexc5air
163949,"2015-09-11 12:05:37",130.0,0.43,x00x13xa2x00x40xaexc5air
163950,"2015-09-11 12:05:37",130.0,0.46,x00x13xa2x00x40xaexc5air
163951,"2015-09-11 12:05:37",130.0,0.46,x00x13xa2x00x40xaexc5air
163952,"2015-09-11 12:05:38",130.0,0.47,x00x13xa2x00x40xaexc5air
163953,"2015-09-11 12:05:38",130.0,0.46,x00x13xa2x00x40xaexc5air
163954,"2015-09-11 12:05:38",130.0,0.45,x00x13xa2x00x40xaexc5air
163955,"2015-09-11 12:05:38",130.0,0.45,x00x13xa2x00x40xaexc5air
163956,"2015-09-11 12:05:38",130.0,0.43,x00x13xa2x00x40xaexc5air
163957,"2015-09-11 12:05:38",130.0,0.45,x00x13xa2x00x40xaexc5air
163958,"2015-09-11 12:05:38",130.0,0.49,x00x13xa2x00x40xaexc5air
163959,"2015-09-11 12:05:38",130.0,0.5,x00x13xa2x00x40xaexc5air
163960,"2015-09-11 12:05:39",130.0,0.49,x00x13xa2x00x40xaexc5air
163961,"2015-09-11 12:05:39",130.0,0.45,x00x13xa2x00x40xaexc5air
163962,"2015-09-11 12:05:39",130.0,0.45,x00x13xa2x00x40xaexc5air
163963,"2015-09-11 12:05:39",130.0,0.44,x00x13xa2x00x40xaexc5air
