id_data_consumer,time_consumer,tension,current,MAC_node
95178,"2015-08-31 20:00:01",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95179,"2015-08-31 20:00:01",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95180,"2015-08-31 20:00:01",127.0,0.14,x00x13xa2x00x40xaexc5xbe
95181,"2015-08-31 20:00:01",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95182,"2015-08-31 20:00:01",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95183,"2015-08-31 20:00:01",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95184,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95185,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95186,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95187,"2015-08-31 20:00:02",127.0,0.15,x00x13xa2x00x40xaexc5xbe
95188,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95189,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95190,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95191,"2015-08-31 20:00:02",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95192,"2015-08-31 20:00:03",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95193,"2015-08-31 20:00:03",127.0,0.15,x00x13xa2x00x40xaexc5xbe
95194,"2015-08-31 20:00:03",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95195,"2015-08-31 20:00:03",127.0,0.14,x00x13xa2x00x40xaexc5xbe
95196,"2015-08-31 20:00:04",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95197,"2015-08-31 20:00:04",127.0,0.18,x00x13xa2x00x40xaexc5xbe
95198,"2015-08-31 20:00:04",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95199,"2015-08-31 20:00:04",127.0,0.16,x00x13xa2x00x40xaexc5xbe
95200,"2015-08-31 20:00:04",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95201,"2015-08-31 20:00:04",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95202,"2015-08-31 20:00:04",127.0,0.18,x00x13xa2x00x40xaexc5xbe
95203,"2015-08-31 20:00:04",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95204,"2015-08-31 20:00:04",127.0,0.16,x00x13xa2x00x40xaexc5xbe
95205,"2015-08-31 20:00:05",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95206,"2015-08-31 20:00:05",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95207,"2015-08-31 20:00:05",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95208,"2015-08-31 20:00:05",127.0,0.14,x00x13xa2x00x40xaexc5xbe
95209,"2015-08-31 20:00:05",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95210,"2015-08-31 20:00:05",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95211,"2015-08-31 20:00:06",127.0,0.15,x00x13xa2x00x40xaexc5xbe
95212,"2015-08-31 20:00:06",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95213,"2015-08-31 20:00:06",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95214,"2015-08-31 20:00:06",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95215,"2015-08-31 20:00:07",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95216,"2015-08-31 20:00:07",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95217,"2015-08-31 20:00:07",127.0,0.14,x00x13xa2x00x40xaexc5xbe
95218,"2015-08-31 20:00:07",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95219,"2015-08-31 20:00:08",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95220,"2015-08-31 20:00:08",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95221,"2015-08-31 20:00:09",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95222,"2015-08-31 20:00:10",127.0,0.16,x00x13xa2x00x40xaexc5xbe
95223,"2015-08-31 20:00:10",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95224,"2015-08-31 20:00:10",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95225,"2015-08-31 20:00:10",127.0,0.16,x00x13xa2x00x40xaexc5xbe
95226,"2015-08-31 20:00:10",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95227,"2015-08-31 20:00:10",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95228,"2015-08-31 20:00:10",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95229,"2015-08-31 20:00:10",127.0,0.16,x00x13xa2x00x40xaexc5xbe
95230,"2015-08-31 20:00:11",127.0,0.16,x00x13xa2x00x40xaexc5xbe
95231,"2015-08-31 20:00:11",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95232,"2015-08-31 20:00:11",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95233,"2015-08-31 20:00:11",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95234,"2015-08-31 20:00:11",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95235,"2015-08-31 20:00:12",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95236,"2015-08-31 20:00:12",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95237,"2015-08-31 20:00:12",127.0,0.15,x00x13xa2x00x40xaexc5xbe
95238,"2015-08-31 20:00:12",130.0,0.17,x00x13xa2x00x40xaexc5xbe
95239,"2015-08-31 20:00:12",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95240,"2015-08-31 20:00:12",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95241,"2015-08-31 20:00:12",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95242,"2015-08-31 20:00:13",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95243,"2015-08-31 20:00:13",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95244,"2015-08-31 20:00:15",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95245,"2015-08-31 20:00:15",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95246,"2015-08-31 20:00:15",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95247,"2015-08-31 20:00:15",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95248,"2015-08-31 20:00:16",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95249,"2015-08-31 20:00:16",127.0,0.14,x00x13xa2x00x40xaexc5xbe
95250,"2015-08-31 20:00:16",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95251,"2015-08-31 20:00:16",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95252,"2015-08-31 20:00:16",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95253,"2015-08-31 20:00:16",127.0,0.15,x00x13xa2x00x40xaexc5xbe
95254,"2015-08-31 20:00:16",127.0,0.17,x00x13xa2x00x40xaexc5xbe
95255,"2015-08-31 20:00:17",127.0,0.17,x00x13xa2x00x40xaexc5xbe
